Step,Actual_Lat,Actual_Lng,Raw_Lat,Raw_Lng,Predicted_Lat,Predicted_Lng,Filtered_Lat,Filtered_Lng,Match_Confidence,Innovation_M,Outlier_Rejected,Raw_Error_M,Filtered_Error_M,Algorithm
25,40.759125,-73.985406,40.759089,-73.985530,40.759132,-73.985474,40.759109,-73.985504,0.437,7.9,0,11.2,8.4,sift
26,40.759171,-73.985368,40.759089,-73.985530,40.759148,-73.985497,40.759121,-73.985512,0.328,7.5,0,16.4,13.3,sift
27,40.759216,-73.985330,40.759367,-73.985252,40.759151,-73.985512,40.759151,-73.985512,0.300,37.6,1,18.0,16.9,sift
28,40.759262,-73.985293,40.759367,-73.985252,40.759182,-73.985512,40.759182,-73.985512,0.370,35.5,1,12.2,20.5,sift
29,40.759308,-73.985255,40.759367,-73.985252,40.759212,-73.985512,40.759212,-73.985512,0.492,33.7,1,6.6,24.1,sift
30,40.759353,-73.985217,40.759367,-73.985252,40.759243,-73.985512,40.759243,-73.985512,0.520,32.1,1,3.3,27.7,sift
31,40.759399,-73.985179,40.759367,-73.985252,40.759274,-73.985512,40.759274,-73.985512,0.458,30.7,1,7.1,31.4,sift
32,40.759444,-73.985141,40.759367,-73.985252,40.759304,-73.985512,40.759357,-73.985283,0.373,29.8,0,12.7,15.4,sift
33,40.759490,-73.985103,40.759645,-73.984974,40.759396,-73.985252,40.759541,-73.985092,0.422,41.6,0,20.4,5.7,sift
34,40.759536,-73.985065,40.759645,-73.984974,40.759602,-73.985031,40.759624,-73.985001,0.477,8.0,0,14.4,11.3,sift
35,40.759581,-73.985027,40.759645,-73.984974,40.759689,-73.984932,40.759666,-73.984955,0.504,6.8,0,8.4,11.3,sift
36,40.759627,-73.985064,40.759645,-73.984974,40.759628,-73.985054,40.759636,-73.985008,0.550,9.1,0,7.9,4.8,sift
37,40.759673,-73.985101,40.759645,-73.984974,40.759686,-73.985023,40.759663,-73.985001,0.552,7.1,0,11.2,8.6,sift
38,40.759719,-73.985139,40.759645,-73.984974,40.759705,-73.985008,40.759674,-73.984993,0.522,7.7,0,16.2,13.3,sift
39,40.759765,-73.985176,40.759923,-73.985252,40.759705,-73.984993,40.759705,-73.984993,0.578,37.7,1,18.7,16.8,sift
40,40.759811,-73.985213,40.759923,-73.985252,40.759735,-73.984993,40.759735,-73.984993,0.695,35.6,1,12.9,20.4,sift
41,40.759857,-73.985251,40.759923,-73.985252,40.759766,-73.984993,40.759895,-73.985207,0.926,33.7,0,7.4,5.7,sift
42,40.759903,-73.985288,40.759923,-73.985252,40.759953,-73.985252,40.759937,-73.985252,0.820,3.3,0,3.8,4.9,sift
43,40.759948,-73.985325,40.759923,-73.985252,40.759991,-73.985298,40.759956,-73.985275,0.797,9.2,0,6.8,4.3,sift
44,40.759994,-73.985362,40.759923,-73.985252,40.760002,-73.985313,40.759968,-73.985283,0.736,11.2,0,12.3,7.3,sift
